event_id,customer_id,event_type,event_timestamp,device_type,device_id,ip_address,session_id
EVT00000035,C0005,logout,2024-01-15T10:00:02.000Z,Tablet,Samsung Galaxy S23,61.247.40.185,SES001134
EVT00000036,C0005,beneficiary_add,2024-01-15T10:00:03.000Z,Mobile,iPhone 14,120.147.220.60,SES000085
EVT00000037,C0005,transfer,2024-01-15T10:00:04.000Z,Mobile,,155.57.12.98,SES002950
EVT00000038,C0005,login,2024-01-15T10:00:05.000Z,Tablet,Samsung Galaxy S23,174.107.193.178,SES008809
EVT00000039,C0005,logout,2024-01-15T10:00:06.000Z,Desktop,iOS App,96.198.122.226,SES001723
EVT00000040,C0005,login,2024-01-15T10:00:07.000Z,Desktop,Android App,63.6.229.52,SES003394
EVT00000041,C0167,transfer,2024-05-13T16:22:59.000Z,,iOS App,172.172.209.206,SES003759
EVT00000042,C0012,balance_check,2024-05-01T03:04:05.000Z,Mobile,Safari,86.2.184.163,SES007727
EVT00000043,C0340,profile_update,2024-01-17T02:04:35.000Z,Mobile,Chrome Browser,96.215.210.173,SES003493
EVT00000044,C0029,card_block,2024-03-16T10:41:15.000Z,Desktop,iOS App,148.112.14.174,SES009322
EVT00000045,C0583,login,2024-06-04T13:59:50.000Z,Tablet,Samsung Galaxy S23,28.254.153.100,SES006381
EVT00000046,C0534,card_block,2024-05-04T14:03:02.000Z,Mobile,Android App,47.41.105.115,SES007265
EVT00000047,C0993,beneficiary_add,2024-04-03T09:01:28.000Z,Desktop,iPhone 14,154.125.166.110,SES004579
EVT00000048,C0174,loan_apply,2024-06-20T10:27:10.000Z,Tablet,Chrome Browser,69.93.66.109,SES005670
EVT00000049,C0274,"""""",2024-02-08T09:56:08.000Z,Mobile,,16.66.131.179,SES001673
EVT00000050,C0752,login,2024-02-25T23:24:18.000Z,Desktop,iOS App,13.162.94.24,SES005961
EVT00000051,C0342,transfer,2024-03-15T02:57:07.000Z,Tablet,,218.27.40.9,SES005988
EVT00000052,C0043,lgout,2024-05-24T08:37:06.000Z,Desktop,Samsung Galaxy S23,54.248.135.120,SES006663
EVT00000053,C0320,loan_apply,2024-01-15T07:34:46.000Z,,iOS App,8.45.147.90,SES004392
EVT00000054,C0390,login,2024-03-11T07:51:06.000Z,Tablet,iOS App,42.69.38.236,SES003517
EVT00000055,C0664,card_block,2024-01-16T11:06:11.000Z,Tablet,Samsung Galaxy S23,62.102.94.22,SES008320
EVT00000056,C0490,profile_update,2024-04-28T14:44:57.000Z,,Chrome Browser,34.92.92.99,SES006659
EVT00000057,C0603,bill_pay,2024-05-17T21:54:09.000Z,Desktop,iOS App,239.52.13.36,SES004475
EVT00000058,C0519,balance_check,2024-05-09T06:34:52.000Z,,iOS App,2.201.243.127,SES006826
EVT00000059,C0849,profile_update,2024-01-23T03:17:09.000Z,Mobile,Safari,164.177.61.83,SES008087
EVT00000060,C0920,balance_check,2024-05-17T15:30:55.000Z,Tablet,iOS App,61.63.105.226,SES002591
EVT00000061,C0812,profile_update,2024-03-25T07:41:14.000Z,Tablet,Chrome Browser,29.238.142.133,SES004393
EVT00000062,C0334,lgout,2024-06-05T06:05:34.000Z,Mobile,Android App,199.92.235.67,SES002806
EVT00000063,C0123,card_block,2024-03-02T16:29:51.000Z,Desktop,Android App,44.179.83.117,SES002437
EVT00000064,C0317,login,2024-04-11T01:27:39.000Z,Tablet,,173.7.243.63,SES000926
EVT00000065,C0374,logout,2024-03-08T22:49:59.000Z,Mobile,iOS App,215.176.204.232,SES005391
EVT00000066,C0141,loan_apply,2024-06-05T23:32:57.000Z,,,221.244.170.145,SES007024
EVT00000067,C0005,bill_pay,2024-04-15T02:33:05.000Z,Tablet,Android App,193.15.21.214,SES008057
EVT00000068,C0413,beneficiary_add,2024-02-20T00:28:59.000Z,Tablet,Safari,236.84.65.1,SES001678
EVT00000069,C0309,card_block,2024-04-01T20:44:28.000Z,Tablet,iOS App,240.110.188.234,SES001457
EVT00000070,C0247,beneficiary_add,2024-06-21T11:56:25.000Z,Desktop,Samsung Galaxy S23,207.163.107.149,SES002748
EVT00000071,C0583,bill_pay,2024-06-09T14:58:46.000Z,Tablet,Chrome Browser,244.88.209.172,SES004710
EVT00000072,C0152,logout,2024-06-04T00:53:53.000Z,Mobile,Android App,255.0.156.189,SES008635
EVT00000073,C0073,login,2024-06-04T07:14:19.000Z,Mobile,Samsung Galaxy S23,13.92.174.21,SES009302
EVT00000074,C0397,transfer,2024-06-27T01:29:28.000Z,Tablet,,214.91.187.216,SES009706
EVT00000075,C0987,login,2024-04-02T19:20:05.000Z,Desktop,,49.34.88.184,SES005918
EVT00000076,C0730,bill_pay,2024-05-11T11:38:45.000Z,,Android App,128.114.201.187,SES004077
EVT00000077,C0823,card_block,2024-03-08T10:09:04.000Z,Mobile,Chrome Browser,176.98.39.156,SES005705
EVT00000078,C0652,profile_update,2024-01-12T08:56:45.000Z,Tablet,iOS App,210.137.87.222,SES000604
EVT00000079,C0367,lgout,2024-05-25T06:10:24.000Z,Mobile,Chrome Browser,252.230.62.49,SES003573
EVT00000080,C0753,logout,2024-02-12T06:14:46.000Z,Mobile,Android App,61.233.21.166,SES005090
EVT00000081,C0477,bill_pay,2024-04-20T18:54:39.000Z,Tablet,,0.53.115.58,SES000170
EVT00000082,C0449,login,2024-03-09T20:57:34.000Z,Mobile,Samsung Galaxy S23,84.31.186.51,SES003508
EVT00000083,C0449,null,2024-04-15T02:19:27.000Z,Mobile,,24.72.254.237,SES006824
EVT00000084,C0353,profile_update,2024-03-17T03:08:18.000Z,Tablet,Safari,92.86.153.242,SES002010
EVT00000085,C0185,card_block,2024-03-10T18:30:13.000Z,Tablet,Samsung Galaxy S23,171.205.187.147,SES007492
EVT00000086,C0271,logout,2024-01-27T00:19:09.000Z,Desktop,Chrome Browser,80.121.252.206,SES001731
EVT00000087,C0777,login,2024-03-04T10:43:16.000Z,Mobile,Android App,67.213.103.74,SES003309
EVT00000088,C0309,beneficiary_add,2024-02-04T01:00:13.000Z,Mobile,,224.217.76.165,SES008998
EVT00000089,C0246,beneficiary_add,2024-04-22T17:21:56.000Z,Desktop,iPhone 14,215.20.253.102,SES001718
EVT00000090,C0797,statement_download,2024-06-04T05:10:08.000Z,Mobile,iOS App,188.54.246.189,SES001624
EVT00000091,C0870,bill_pay,2024-02-12T06:26:16.000Z,,iPhone 14,221.207.17.30,SES007017
EVT00000092,C0088,beneficiary_add,2024-04-09T13:07:51.000Z,Tablet,Safari,204.111.177.82,SES000994
EVT00000093,C0063,transfer,2024-06-16T17:43:39.000Z,Tablet,Safari,211.210.154.40,SES000538
EVT00000094,C0597,statement_download,2024-02-04T21:02:30.000Z,Tablet,Chrome Browser,149.30.162.147,SES009632
EVT00000095,C0944,statement_download,2024-06-03T19:37:42.000Z,Tablet,Safari,199.155.103.43,SES000710
EVT00000096,C0973,loan_apply,2024-03-01T05:19:05.000Z,Mobile,Safari,235.248.202.137,SES000918
EVT00000097,C0406,loan_apply,2024-03-01T16:37:29.000Z,Tablet,Samsung Galaxy S23,125.236.132.171,SES003221
EVT00000098,C0284,beneficiary_add,2024-05-03T12:44:18.000Z,Mobile,Samsung Galaxy S23,121.16.92.139,SES009673
EVT00000099,C0090,loan_apply,2024-05-01T20:29:53.000Z,Tablet,iOS App,159.95.81.61,SES008228
EVT00000100,C0964,bill_pay,2024-03-20T05:17:20.000Z,Tablet,Chrome Browser,34.223.220.139,SES000659
EVT00000101,C0006,balance_check,2024-01-24T10:00:00.000Z,Desktop,iOS App,188.241.14.200,SES001377
EVT00000102,C0006,logout,2024-01-24T10:00:01.000Z,Tablet,iOS App,57.100.18.150,SES001470
EVT00000103,C0006,login,2024-01-24T10:00:02.000Z,Tablet,,87.10.75.69,SES007656
EVT00000104,C0006,card_block,2024-01-24T10:00:03.000Z,Desktop,,176.103.201.114,SES003644
EVT00000105,C0006,profile_update,2024-01-24T10:00:04.000Z,Tablet,Safari,252.83.79.201,SES005462
EVT00000106,C0006,balance_check,2024-01-24T10:00:05.000Z,Desktop,Safari,218.148.24.92,SES004977
EVT00000107,C0006,login,2024-01-24T10:00:06.000Z,,iOS App,52.33.186.224,SES005475
EVT00000108,C0006,login,2024-01-24T10:00:07.000Z,Desktop,,7.130.43.141,SES008774
EVT00000109,C0007,transfer,2024-01-20T10:00:00.000Z,,iPhone 14,252.169.80.129,SES009387
EVT00000110,C0007,bill_pay,2024-01-20T10:00:01.000Z,Mobile,Safari,33.238.142.81,SES005650
EVT00000111,C0007,card_block,2024-01-20T10:00:02.000Z,Mobile,iPhone 14,249.163.199.58,SES001919
EVT00000112,C0007,logout,2024-01-20T10:00:03.000Z,Mobile,Android App,97.184.168.241,SES002663
EVT00000113,C0007,balance_check,2024-01-20T10:00:04.000Z,Mobile,iPhone 14,168.240.38.58,SES000176
EVT00000114,C0007,profile_update,2024-01-20T10:00:05.000Z,Desktop,Android App,171.63.189.218,SES005275
EVT00000115,C0007,transfer,2024-01-20T10:00:06.000Z,Mobile,Safari,69.8.152.82,SES002282
EVT00000116,C0007,bill_pay,2024-01-20T10:00:07.000Z,Tablet,iPhone 14,159.89.22.37,SES000910
EVT00000117,C0008,transfer,2024-01-29T10:00:00.000Z,Mobile,iPhone 14,52.41.206.129,SES006766
EVT00000118,C0008,card_block,2024-01-29T10:00:01.000Z,Mobile,Samsung Galaxy S23,199.188.13.181,SES000110
EVT00000119,C0008,profile_update,2024-01-29T10:00:02.000Z,Desktop,Android App,60.44.4.158,SES000372
EVT00000120,C0008,beneficiary_add,2024-01-29T10:00:03.000Z,,Samsung Galaxy S23,29.73.254.242,SES001184
EVT00000121,C0008,logout,2024-01-29T10:00:04.000Z,Desktop,Android App,125.79.243.2,SES000753
EVT00000122,C0008,transfer,2024-01-29T10:00:05.000Z,,Chrome Browser,127.220.87.36,SES006196
EVT00000123,C0008,beneficiary_add,2024-01-29T10:00:06.000Z,Mobile,iOS App,140.207.169.148,SES002131
EVT00000124,C0008,beneficiary_add,2024-01-29T10:00:07.000Z,Mobile,Chrome Browser,82.94.247.184,SES005530
EVT00000125,C0009,bill_pay,2024-01-21T10:00:00.000Z,Desktop,iPhone 14,38.15.15.220,SES002696
EVT00000126,C0009,card_block,2024-01-21T10:00:01.000Z,Desktop,iPhone 14,176.42.213.5,SES004025
EVT00000127,C0009,beneficiary_add,2024-01-21T10:00:02.000Z,Mobile,Android App,177.18.236.231,SES004075
EVT00000128,C0009,card_block,2024-01-21T10:00:03.000Z,Desktop,Chrome Browser,150.244.66.33,SES007224
EVT00000129,C0009,beneficiary_add,2024-01-21T10:00:04.000Z,Tablet,iPhone 14,175.233.53.220,SES001266
EVT00000130,C0009,card_block,2024-01-21T10:00:05.000Z,Mobile,iPhone 14,24.80.93.94,SES001165
EVT00000131,C0009,bill_pay,2024-01-21T10:00:06.000Z,Desktop,Safari,18.83.151.96,SES000661
EVT00000132,C0009,card_block,2024-01-21T10:00:07.000Z,Mobile,Samsung Galaxy S23,199.64.193.185,SES003381
EVT00000133,C0010,card_block,2024-01-26T10:00:00.000Z,Desktop,iOS App,205.203.132.33,SES002055
EVT00000134,C0010,login,2024-01-26T10:00:01.000Z,,Android App,160.112.129.239,SES002281
EVT00000135,C0010,card_block,2024-01-26T10:00:02.000Z,Mobile,Safari,238.122.71.22,SES002342
EVT00000136,C0010,login,2024-01-26T10:00:03.000Z,Mobile,Safari,169.2.20.42,SES005819
EVT00000137,C0010,loan_apply,2024-01-26T10:00:04.000Z,,Android App,149.182.177.185,SES001544
EVT00000138,C0010,transfer,2024-01-26T10:00:05.000Z,Desktop,iOS App,171.93.211.238,SES004141
EVT00000139,C0010,statement_download,2024-01-26T10:00:06.000Z,,Android App,183.85.103.89,SES006086
EVT00000140,C0010,profile_update,2024-01-26T10:00:07.000Z,Mobile,Safari,29.79.177.255,SES002449
EVT00000141,C0011,login,2024-01-25T10:00:00.000Z,Mobile,Android App,39.206.171.201,SES002393
EVT00000142,C0011,profile_update,2024-01-25T10:00:01.000Z,Tablet,Samsung Galaxy S23,213.23.222.241,SES009814
EVT00000143,C0011,beneficiary_add,2024-01-25T10:00:02.000Z,,iOS App,231.207.135.81,SES004021
EVT00000144,C0011,transfer,2024-01-25T10:00:03.000Z,Mobile,iOS App,176.75.143.54,SES005506
EVT00000145,C0011,balance_check,2024-01-25T10:00:04.000Z,,,183.149.21.244,SES006655
EVT00000146,C0011,transfer,2024-01-25T10:00:05.000Z,Mobile,Safari,19.8.150.113,SES005178
EVT00000147,C0011,beneficiary_add,2024-01-25T10:00:06.000Z,Tablet,Samsung Galaxy S23,112.15.120.199,SES006380
EVT00000148,C0011,beneficiary_add,2024-01-25T10:00:07.000Z,Mobile,Safari,73.178.95.66,SES008629
EVT00000149,C0012,balance_check,2024-01-28T10:00:00.000Z,Desktop,Samsung Galaxy S23,190.151.169.225,SES008830
EVT00000150,C0012,loan_apply,2024-01-28T10:00:01.000Z,Desktop,Samsung Galaxy S23,191.61.97.109,SES007397
EVT00000151,C0012,logout,2024-01-28T10:00:02.000Z,,iOS App,11.111.255.183,SES007398
EVT00000152,C0012,profile_update,2024-01-28T10:00:03.000Z,Mobile,Android App,39.11.186.97,SES007541
EVT00000153,C0012,balance_check,2024-01-28T10:00:04.000Z,Tablet,iPhone 14,102.93.70.235,SES007271
EVT00000154,C0012,beneficiary_add,2024-01-28T10:00:05.000Z,Tablet,Android App,230.134.57.113,SES003288
EVT00000155,C0012,card_block,2024-01-28T10:00:06.000Z,Desktop,Samsung Galaxy S23,218.253.158.70,SES009763
EVT00000156,C0012,loan_apply,2024-01-28T10:00:07.000Z,Mobile,Chrome Browser,218.73.120.78,SES004533
EVT00000157,C0013,card_block,2024-01-23T10:00:00.000Z,,Safari,81.136.181.75,SES001005
EVT00000158,C0013,card_block,2024-01-23T10:00:01.000Z,Desktop,Safari,195.117.255.206,SES002048
EVT00000159,C0013,card_block,2024-01-23T10:00:02.000Z,,iOS App,136.21.176.97,SES003878
EVT00000160,C0013,transfer,2024-01-23T10:00:03.000Z,Tablet,,64.90.52.28,SES006985
EVT00000161,C0013,card_block,2024-01-23T10:00:04.000Z,Tablet,Samsung Galaxy S23,204.136.252.86,SES003293
EVT00000162,C0013,loan_apply,2024-01-23T10:00:05.000Z,Desktop,iPhone 14,134.50.90.55,SES000481
EVT00000163,C0013,loan_apply,2024-01-23T10:00:06.000Z,,Samsung Galaxy S23,48.189.240.80,SES003950
EVT00000164,C0013,card_block,2024-01-23T10:00:07.000Z,Mobile,Safari,15.203.216.5,SES001260
EVT00000165,C0014,login,2024-01-17T10:00:00.000Z,Tablet,iOS App,71.183.120.181,SES004967
EVT00000166,C0014,logout,2024-01-17T10:00:01.000Z,Mobile,Android App,75.147.98.252,SES002616
EVT00000167,C0014,bill_pay,2024-01-17T10:00:02.000Z,Mobile,,194.112.97.125,SES004333
EVT00000168,C0014,logout,2024-01-17T10:00:03.000Z,Tablet,Android App,6.218.199.15,SES008456
EVT00000169,C0014,statement_download,2024-01-17T10:00:04.000Z,Tablet,iOS App,186.100.23.80,SES000760
EVT00000170,C0014,login,2024-01-17T10:00:05.000Z,,Safari,134.245.70.48,SES002706
EVT00000171,C0014,logout,2024-01-17T10:00:06.000Z,Mobile,Chrome Browser,246.154.106.179,SES008273
EVT00000172,C0014,card_block,2024-01-17T10:00:07.000Z,Desktop,Safari,85.171.165.158,SES001359
EVT00000173,C0015,profile_update,2024-01-18T10:00:00.000Z,,Android App,221.45.211.77,SES002063
EVT00000174,C0015,loan_apply,2024-01-18T10:00:01.000Z,Tablet,Chrome Browser,106.222.14.73,SES000583
EVT00000175,C0015,profile_update,2024-01-18T10:00:02.000Z,Mobile,Android App,97.17.238.28,SES007958
EVT00000176,C0015,loan_apply,2024-01-18T10:00:03.000Z,,Samsung Galaxy S23,193.112.61.74,SES008326
EVT00000177,C0015,beneficiary_add,2024-01-18T10:00:04.000Z,Desktop,Android App,167.189.248.151,SES008866
EVT00000178,C0015,bill_pay,2024-01-18T10:00:05.000Z,Tablet,iOS App,18.229.31.151,SES009174
EVT00000179,C0015,login,2024-01-18T10:00:06.000Z,Tablet,,102.228.21.236,SES006652
EVT00000180,C0015,logout,2024-01-18T10:00:07.000Z,Desktop,Samsung Galaxy S23,36.60.238.76,SES009167
EVT00000181,C0016,login,2024-01-21T10:00:00.000Z,Mobile,iPhone 14,149.199.234.176,SES004564
EVT00000182,C0016,login,2024-01-21T10:00:01.000Z,Desktop,Android App,105.214.42.189,SES000190
EVT00000183,C0016,profile_update,2024-01-21T10:00:02.000Z,Mobile,iPhone 14,72.180.103.98,SES007466
EVT00000184,C0016,logout,2024-01-21T10:00:03.000Z,Desktop,Safari,177.166.89.46,SES005076
EVT00000185,C0016,bill_pay,2024-01-21T10:00:04.000Z,Tablet,iPhone 14,182.114.12.21,SES009661
EVT00000186,C0016,transfer,2024-01-21T10:00:05.000Z,Desktop,Samsung Galaxy S23,121.55.8.89,SES009536
EVT00000187,C0016,statement_download,2024-01-21T10:00:06.000Z,Mobile,,161.247.29.12,SES000766
EVT00000188,C0016,logout,2024-01-21T10:00:07.000Z,Desktop,,0.185.197.141,SES009170
EVT00000189,C0017,beneficiary_add,2024-01-24T10:00:00.000Z,Mobile,,67.119.121.202,SES000904
EVT00000190,C0017,transfer,2024-01-24T10:00:01.000Z,Desktop,iPhone 14,227.3.12.125,SES009341
EVT00000191,C0017,transfer,2024-01-24T10:00:02.000Z,,iOS App,128.62.160.39,SES000298
EVT00000192,C0017,loan_apply,2024-01-24T10:00:03.000Z,Tablet,iPhone 14,122.162.34.170,SES009402
EVT00000193,C0017,profile_update,2024-01-24T10:00:04.000Z,Mobile,,230.111.237.235,SES005259
EVT00000194,C0017,card_block,2024-01-24T10:00:05.000Z,,iPhone 14,221.105.1.165,SES000940
EVT00000195,C0017,statement_download,2024-01-24T10:00:06.000Z,Tablet,Safari,7.51.78.173,SES005293
EVT00000196,C0017,profile_update,2024-01-24T10:00:07.000Z,Mobile,Chrome Browser,35.220.158.153,SES008576
EVT00000197,C0018,transfer,2024-01-17T10:00:00.000Z,,Samsung Galaxy S23,89.164.145.99,SES005342
EVT00000198,C0018,logout,2024-01-17T10:00:01.000Z,Desktop,iPhone 14,88.133.12.135,SES008491
EVT00000199,C0018,login,2024-01-17T10:00:02.000Z,Desktop,iOS App,97.71.122.44,SES009631
EVT00000200,C0018,beneficiary_add,2024-01-17T10:00:03.000Z,Desktop,iPhone 14,181.215.7.149,SES003116
EVT00000201,C0006,statement_download,2024-01-29T10:00:00.000Z,Tablet,Chrome Browser,83.152.29.167,SES004145
EVT00000202,C0006,beneficiary_add,2024-01-29T10:00:01.000Z,,,250.163.194.141,SES008317
EVT00000203,C0006,logout,2024-01-29T10:00:02.000Z,Desktop,iPhone 14,70.61.135.115,SES009652
EVT00000204,C0006,logout,2024-01-29T10:00:03.000Z,Desktop,Android App,229.205.73.224,SES002016
EVT00000205,C0006,balance_check,2024-01-29T10:00:04.000Z,Tablet,iOS App,77.88.120.47,SES009374
EVT00000206,C0006,bill_pay,2024-01-29T10:00:05.000Z,Mobile,,16.72.102.168,SES003179
EVT00000207,C0006,statement_download,2024-01-29T10:00:06.000Z,,iPhone 14,67.125.149.231,SES006885
EVT00000208,C0006,beneficiary_add,2024-01-29T10:00:07.000Z,Desktop,Samsung Galaxy S23,40.174.162.142,SES001130
EVT00000209,C0007,beneficiary_add,2024-01-22T10:00:00.000Z,Tablet,Safari,115.8.159.240,SES007178
EVT00000210,C0007,loan_apply,2024-01-22T10:00:01.000Z,Tablet,Chrome Browser,167.226.107.243,SES005887
EVT00000211,C0007,balance_check,2024-01-22T10:00:02.000Z,Desktop,,35.241.36.23,SES002946
EVT00000212,C0007,login,2024-01-22T10:00:03.000Z,,Chrome Browser,97.92.156.8,SES007701
EVT00000213,C0007,beneficiary_add,2024-01-22T10:00:04.000Z,Mobile,Safari,55.31.28.105,SES007741
EVT00000214,C0007,login,2024-01-22T10:00:05.000Z,,,9.155.70.250,SES001087
EVT00000215,C0007,profile_update,2024-01-22T10:00:06.000Z,Mobile,,176.118.87.221,SES007222
EVT00000216,C0007,login,2024-01-22T10:00:07.000Z,,Samsung Galaxy S23,142.242.2.7,SES007853
EVT00000217,C0008,logout,2024-01-29T10:00:00.000Z,Desktop,Safari,187.190.229.118,SES006664
EVT00000218,C0008,login,2024-01-29T10:00:01.000Z,Mobile,iPhone 14,253.84.34.36,SES003732
EVT00000219,C0008,login,2024-01-29T10:00:02.000Z,Desktop,Chrome Browser,206.9.78.11,SES005101
EVT00000220,C0008,balance_check,2024-01-29T10:00:03.000Z,Tablet,Samsung Galaxy S23,26.164.149.10,SES004975
EVT00000221,C0008,beneficiary_add,2024-01-29T10:00:04.000Z,Tablet,Chrome Browser,121.219.57.209,SES009008
EVT00000222,C0008,card_block,2024-01-29T10:00:05.000Z,Desktop,,98.232.202.7,SES005756
EVT00000223,C0008,statement_download,2024-01-29T10:00:06.000Z,Tablet,,241.82.182.112,SES002951
EVT00000224,C0008,logout,2024-01-29T10:00:07.000Z,,Android App,53.21.165.128,SES007852
EVT00000225,C0009,beneficiary_add,2024-01-23T10:00:00.000Z,Desktop,Samsung Galaxy S23,115.47.19.9,SES005233
EVT00000226,C0009,transfer,2024-01-23T10:00:01.000Z,Tablet,iOS App,195.177.38.203,SES006026
EVT00000227,C0009,transfer,2024-01-23T10:00:02.000Z,Desktop,iPhone 14,244.138.143.125,SES001150
EVT00000228,C0009,statement_download,2024-01-23T10:00:03.000Z,Tablet,Samsung Galaxy S23,126.143.12.43,SES005259
EVT00000229,C0009,profile_update,2024-01-23T10:00:04.000Z,,iPhone 14,229.182.167.247,SES007405
EVT00000230,C0009,login,2024-01-23T10:00:05.000Z,Mobile,Android App,156.165.187.250,SES009795
EVT00000231,C0009,balance_check,2024-01-23T10:00:06.000Z,Desktop,iPhone 14,145.88.228.7,SES009256
EVT00000232,C0009,balance_check,2024-01-23T10:00:07.000Z,Mobile,Safari,199.101.246.84,SES000912
EVT00000233,C0010,logout,2024-01-21T10:00:00.000Z,Desktop,iOS App,103.31.66.29,SES003230
EVT00000234,C0010,statement_download,2024-01-21T10:00:01.000Z,Mobile,iOS App,160.125.240.220,SES008877
EVT00000235,C0010,transfer,2024-01-21T10:00:02.000Z,Tablet,Safari,233.127.58.43,SES009324
EVT00000236,C0010,bill_pay,2024-01-21T10:00:03.000Z,Mobile,Android App,40.253.119.126,SES000101
EVT00000237,C0010,logout,2024-01-21T10:00:04.000Z,,Android App,210.16.97.240,SES004674
EVT00000238,C0010,transfer,2024-01-21T10:00:05.000Z,Tablet,Samsung Galaxy S23,124.13.243.101,SES007117
EVT00000239,C0010,logout,2024-01-21T10:00:06.000Z,,Samsung Galaxy S23,2.24.232.158,SES001411
EVT00000240,C0010,balance_check,2024-01-21T10:00:07.000Z,Mobile,Safari,135.241.198.75,SES008298
EVT00000241,C0011,login,2024-01-27T10:00:00.000Z,Desktop,Samsung Galaxy S23,0.29.233.11,SES005178
EVT00000242,C0011,login,2024-01-27T10:00:01.000Z,Tablet,Safari,25.100.164.245,SES003640
EVT00000243,C0011,beneficiary_add,2024-01-27T10:00:02.000Z,Mobile,Safari,216.182.12.84,SES006409
EVT00000244,C0011,statement_download,2024-01-27T10:00:03.000Z,Desktop,Chrome Browser,207.13.223.237,SES000334
EVT00000245,C0011,statement_download,2024-01-27T10:00:04.000Z,,,158.20.209.133,SES004940
EVT00000246,C0011,logout,2024-01-27T10:00:05.000Z,Mobile,iPhone 14,66.136.56.180,SES004842
EVT00000247,C0011,card_block,2024-01-27T10:00:06.000Z,Tablet,iPhone 14,136.2.181.147,SES003250
EVT00000248,C0011,logout,2024-01-27T10:00:07.000Z,Mobile,Safari,29.23.241.7,SES002829
EVT00000249,C0012,beneficiary_add,2024-01-19T10:00:00.000Z,Mobile,Chrome Browser,57.127.89.27,SES002775
